temperature,pressure,altitude,numberDensity
0.8947612E+003, 0.1520604E-008, 0.7671701E+03, 0.1230909E+011
0.8985503E+003, 0.1458355E-008, 0.7735925E+03, 0.1175541E+011
0.9022013E+003, 0.1398322E-008, 0.7800805E+03, 0.1122589E+011
0.9057148E+003, 0.1340432E-008, 0.7866348E+03, 0.1071939E+011
0.9090909E+003, 0.1284611E-008, 0.7932561E+03, 0.1023485E+011
0.9123302E+003, 0.1230793E-008, 0.7999450E+03, 0.9771241E+010
0.9154330E+003, 0.1178909E-008, 0.8067023E+03, 0.9327617E+010
0.9184003E+003, 0.1128898E-008, 0.8135286E+03, 0.8903062E+010
0.9212325E+003, 0.1080696E-008, 0.8204246E+03, 0.8496718E+010
0.9239303E+003, 0.1034246E-008, 0.8273912E+03, 0.8107771E+010
0.9264944E+003, 0.9894900E-009, 0.8344289E+03, 0.7735448E+010
0.9289257E+003, 0.9463736E-009, 0.8415385E+03, 0.7379017E+010
0.9312246E+003, 0.9048438E-009, 0.8487207E+03, 0.7037786E+010
0.9333921E+003, 0.8648495E-009, 0.8559764E+03, 0.6711094E+010
0.9354290E+003, 0.8263413E-009, 0.8633062E+03, 0.6398313E+010
0.9373362E+003, 0.7892716E-009, 0.8707108E+03, 0.6098850E+010
0.9391148E+003, 0.7535944E-009, 0.8781912E+03, 0.5812137E+010
0.9407659E+003, 0.7192651E-009, 0.8857479E+03, 0.5537634E+010
0.9422906E+003, 0.6862407E-009, 0.8933819E+03, 0.5274830E+010
0.9436900E+003, 0.6544795E-009, 0.9010939E+03, 0.5023236E+010
0.9449655E+003, 0.6239411E-009, 0.9088846E+03, 0.4782385E+010
0.9461181E+003, 0.5945864E-009, 0.9167550E+03, 0.4551835E+010
0.9471494E+003, 0.5663776E-009, 0.9247058E+03, 0.4331163E+010
0.9480605E+003, 0.5392779E-009, 0.9327378E+03, 0.4119964E+010
0.9488530E+003, 0.5132516E-009, 0.9408519E+03, 0.3917855E+010
0.9495284E+003, 0.4882643E-009, 0.9490489E+03, 0.3724465E+010
0.9500885E+003, 0.4642823E-009, 0.9573297E+03, 0.3539443E+010
0.9505349E+003, 0.4412732E-009, 0.9656951E+03, 0.3362454E+010
0.9508694E+003, 0.4192052E-009, 0.9741459E+03, 0.3193175E+010
0.9510941E+003, 0.3980478E-009, 0.9826831E+03, 0.3031298E+010
0.9512109E+003, 0.3777709E-009, 0.9913075E+03, 0.2876528E+010
0.9512219E+003, 0.3583457E-009, 0.1000020E+04, 0.2728583E+010
0.9511293E+003, 0.3397438E-009, 0.1008822E+04, 0.2587193E+010
0.9509350E+003, 0.3219379E-009, 0.1017713E+04, 0.2452100E+010
0.9506415E+003, 0.3049013E-009, 0.1026695E+04, 0.2323054E+010
0.9502509E+003, 0.2886079E-009, 0.1035770E+04, 0.2199818E+010
0.9497656E+003, 0.2730325E-009, 0.1044936E+04, 0.2082163E+010
0.9491882E+003, 0.2581505E-009, 0.1054197E+04, 0.1969870E+010
0.9485212E+003, 0.2439380E-009, 0.1063552E+04, 0.1862727E+010
0.9477673E+003, 0.2303715E-009, 0.1073003E+04, 0.1760532E+010
0.9469291E+003, 0.2174283E-009, 0.1082550E+04, 0.1663089E+010
0.9460095E+003, 0.2050864E-009, 0.1092195E+04, 0.1570212E+010
