temperature,pressure,altitude,numberDensity
0.1650009E+003, 0.1064114E-003, 0.2071398E+03, 0.4671094E+016
0.1650009E+003, 0.1036806E-003, 0.2078401E+03, 0.4551221E+016
0.1650010E+003, 0.1009946E-003, 0.2085475E+03, 0.4433313E+016
0.1650010E+003, 0.9835328E-004, 0.2092621E+03, 0.4317369E+016
0.1650010E+003, 0.9575658E-004, 0.2099840E+03, 0.4203382E+016
0.1650010E+003, 0.9320437E-004, 0.2107133E+03, 0.4091348E+016
0.1650011E+003, 0.9069652E-004, 0.2114500E+03, 0.3981261E+016
0.1650011E+003, 0.8823287E-004, 0.2121943E+03, 0.3873115E+016
0.1650011E+003, 0.8581329E-004, 0.2129462E+03, 0.3766903E+016
0.1650012E+003, 0.8343759E-004, 0.2137057E+03, 0.3662618E+016
0.1650012E+003, 0.8110559E-004, 0.2144731E+03, 0.3560250E+016
0.1650012E+003, 0.7881710E-004, 0.2152482E+03, 0.3459793E+016
0.1650013E+003, 0.7657190E-004, 0.2160313E+03, 0.3361236E+016
0.1650013E+003, 0.7436979E-004, 0.2168224E+03, 0.3264570E+016
0.1650014E+003, 0.7221051E-004, 0.2176216E+03, 0.3169785E+016
0.1650014E+003, 0.7009383E-004, 0.2184289E+03, 0.3076869E+016
0.1650015E+003, 0.6801949E-004, 0.2192445E+03, 0.2985812E+016
0.1650015E+003, 0.6598721E-004, 0.2200684E+03, 0.2896601E+016
0.1650015E+003, 0.6399672E-004, 0.2209007E+03, 0.2809225E+016
0.1650016E+003, 0.6204771E-004, 0.2217416E+03, 0.2723670E+016
0.1650016E+003, 0.6013989E-004, 0.2225910E+03, 0.2639923E+016
0.1650017E+003, 0.5827293E-004, 0.2234491E+03, 0.2557969E+016
0.1650018E+003, 0.5644650E-004, 0.2243160E+03, 0.2477795E+016
0.1650018E+003, 0.5466027E-004, 0.2251917E+03, 0.2399385E+016
0.1650019E+003, 0.5291389E-004, 0.2260764E+03, 0.2322724E+016
0.1650019E+003, 0.5120699E-004, 0.2269701E+03, 0.2247797E+016
0.1650020E+003, 0.4953920E-004, 0.2278729E+03, 0.2174587E+016
0.1650021E+003, 0.4791015E-004, 0.2287850E+03, 0.2103076E+016
0.1650021E+003, 0.4631943E-004, 0.2297064E+03, 0.2033249E+016
0.1650022E+003, 0.4476665E-004, 0.2306372E+03, 0.1965087E+016
0.1650023E+003, 0.4325140E-004, 0.2315775E+03, 0.1898572E+016
0.1650024E+003, 0.4177326E-004, 0.2325275E+03, 0.1833687E+016
0.1650024E+003, 0.4033180E-004, 0.2334871E+03, 0.1770411E+016
0.1650025E+003, 0.3892659E-004, 0.2344565E+03, 0.1708727E+016
0.1650026E+003, 0.3755717E-004, 0.2354359E+03, 0.1648614E+016
0.1650027E+003, 0.3622311E-004, 0.2364252E+03, 0.1590053E+016
0.1650028E+003, 0.3492394E-004, 0.2374247E+03, 0.1533024E+016
0.1650029E+003, 0.3365919E-004, 0.2384344E+03, 0.1477505E+016
0.1650030E+003, 0.3242839E-004, 0.2394544E+03, 0.1423477E+016
0.1650031E+003, 0.3123106E-004, 0.2404848E+03, 0.1370918E+016
0.1650032E+003, 0.3006672E-004, 0.2415257E+03, 0.1319807E+016
0.1650033E+003, 0.2893487E-004, 0.2425773E+03, 0.1270123E+016
0.1650034E+003, 0.2783501E-004, 0.2436396E+03, 0.1221843E+016
0.1650036E+003, 0.2676665E-004, 0.2447128E+03, 0.1174945E+016
0.1650037E+003, 0.2572928E-004, 0.2457969E+03, 0.1129408E+016
0.1650039E+003, 0.2472238E-004, 0.2468921E+03, 0.1085208E+016
0.1650040E+003, 0.2374544E-004, 0.2479985E+03, 0.1042324E+016
0.1650042E+003, 0.2279795E-004, 0.2491162E+03, 0.1000732E+016
0.1650043E+003, 0.2187937E-004, 0.2502454E+03, 0.9604095E+015
0.1650045E+003, 0.2098920E-004, 0.2513860E+03, 0.9213335E+015
0.1650047E+003, 0.2012689E-004, 0.2525384E+03, 0.8834809E+015
0.1650049E+003, 0.1929192E-004, 0.2537025E+03, 0.8468284E+015
0.1650051E+003, 0.1848375E-004, 0.2548785E+03, 0.8113527E+015
0.1650053E+003, 0.1770187E-004, 0.2560665E+03, 0.7770304E+015
0.1650056E+003, 0.1694573E-004, 0.2572666E+03, 0.7438382E+015
0.1650058E+003, 0.1621480E-004, 0.2584790E+03, 0.7117526E+015
0.1650061E+003, 0.1550854E-004, 0.2597038E+03, 0.6807502E+015
0.1650064E+003, 0.1482643E-004, 0.2609411E+03, 0.6508075E+015
0.1650068E+003, 0.1416793E-004, 0.2621911E+03, 0.6219013E+015
0.1650071E+003, 0.1353250E-004, 0.2634538E+03, 0.5940079E+015
0.1650075E+003, 0.1291962E-004, 0.2647294E+03, 0.5671043E+015
0.1650079E+003, 0.1232876E-004, 0.2660181E+03, 0.5411672E+015
0.1650084E+003, 0.1175939E-004, 0.2673199E+03, 0.5161734E+015
0.1650089E+003, 0.1121098E-004, 0.2686351E+03, 0.4920999E+015
0.1650094E+003, 0.1068302E-004, 0.2699636E+03, 0.4689237E+015
0.1650100E+003, 0.1017498E-004, 0.2713058E+03, 0.4466222E+015
0.1650107E+003, 0.9686356E-005, 0.2726616E+03, 0.4251726E+015
0.1650114E+003, 0.9216626E-005, 0.2740313E+03, 0.4045526E+015
0.1650122E+003, 0.8765287E-005, 0.2754150E+03, 0.3847397E+015
0.1650131E+003, 0.8331834E-005, 0.2768129E+03, 0.3657120E+015
0.1650140E+003, 0.7915770E-005, 0.2782250E+03, 0.3474475E+015
0.1650151E+003, 0.7516600E-005, 0.2796515E+03, 0.3299245E+015
0.1650164E+003, 0.7133836E-005, 0.2810927E+03, 0.3131216E+015
0.1650177E+003, 0.6766996E-005, 0.2825485E+03, 0.2970176E+015
0.1650193E+003, 0.6415602E-005, 0.2840193E+03, 0.2815916E+015
0.1650210E+003, 0.6079183E-005, 0.2855050E+03, 0.2668228E+015
0.1650229E+003, 0.5757275E-005, 0.2870059E+03, 0.2526908E+015
0.1650251E+003, 0.5449419E-005, 0.2885222E+03, 0.2391757E+015
0.1650276E+003, 0.5155165E-005, 0.2900540E+03, 0.2262574E+015
0.1650304E+003, 0.4874068E-005, 0.2916014E+03, 0.2139166E+015
0.1650336E+003, 0.4605690E-005, 0.2931646E+03, 0.2021339E+015
0.1650372E+003, 0.4349601E-005, 0.2947438E+03, 0.1908906E+015
0.1650413E+003, 0.4105380E-005, 0.2963392E+03, 0.1801680E+015
0.1650459E+003, 0.3872612E-005, 0.2979508E+03, 0.1699481E+015
0.1650511E+003, 0.3650889E-005, 0.2995789E+03, 0.1602128E+015
0.1650570E+003, 0.3439814E-005, 0.3012236E+03, 0.1509447E+015
0.1650636E+003, 0.3238995E-005, 0.3028852E+03, 0.1421267E+015
0.1650711E+003, 0.3048050E-005, 0.3045637E+03, 0.1337420E+015
0.1650794E+003, 0.2866604E-005, 0.3062594E+03, 0.1257742E+015
0.1650889E+003, 0.2694292E-005, 0.3079724E+03, 0.1182071E+015
0.1650997E+003, 0.2530757E-005, 0.3097029E+03, 0.1110251E+015
0.1651118E+003, 0.2375650E-005, 0.3114511E+03, 0.1042128E+015
0.1651252E+003, 0.2228631E-005, 0.3132171E+03, 0.9775560E+014
0.1651402E+003, 0.2089367E-005, 0.3150012E+03, 0.9163869E+014
0.1651570E+003, 0.1957537E-005, 0.3168035E+03, 0.8584794E+014
0.1651758E+003, 0.1832826E-005, 0.3186242E+03, 0.8036958E+014
0.1651966E+003, 0.1714927E-005, 0.3204636E+03, 0.7519023E+014
0.1652200E+003, 0.1603545E-005, 0.3223217E+03, 0.7029679E+014
0.1652458E+003, 0.1498391E-005, 0.3241988E+03, 0.6567675E+014
0.1652744E+003, 0.1399185E-005, 0.3260951E+03, 0.6131777E+014
0.1653062E+003, 0.1305655E-005, 0.3280108E+03, 0.5720794E+014
0.1653413E+003, 0.1217540E-005, 0.3299460E+03, 0.5333580E+014
0.1653798E+003, 0.1134584E-005, 0.3319010E+03, 0.4969021E+014
0.1654222E+003, 0.1056541E-005, 0.3338760E+03, 0.4626041E+014
0.1654687E+003, 0.9831739E-006, 0.3358712E+03, 0.4303595E+014
0.1655197E+003, 0.9142528E-006, 0.3378868E+03, 0.4000676E+014
0.1655759E+003, 0.8495560E-006, 0.3399229E+03, 0.3716309E+014
0.1656384E+003, 0.7888703E-006, 0.3419799E+03, 0.3449542E+014
0.1657068E+003, 0.7319900E-006, 0.3440578E+03, 0.3199498E+014
0.1657814E+003, 0.6787171E-006, 0.3461570E+03, 0.2965308E+014
0.1658622E+003, 0.6288611E-006, 0.3482777E+03, 0.2746150E+014
0.1659487E+003, 0.5822385E-006, 0.3504200E+03, 0.2541230E+014
0.1660413E+003, 0.5386735E-006, 0.3525842E+03, 0.2349775E+014
0.1661414E+003, 0.4979973E-006, 0.3547706E+03, 0.2171031E+014
0.1662487E+003, 0.4600484E-006, 0.3569792E+03, 0.2004297E+014
0.1663646E+003, 0.4246720E-006, 0.3592105E+03, 0.1848884E+014
0.1664896E+003, 0.3917205E-006, 0.3614645E+03, 0.1704143E+014
0.1666244E+003, 0.3610523E-006, 0.3637415E+03, 0.1569453E+014
0.1667707E+003, 0.3325328E-006, 0.3660419E+03, 0.1444214E+014
0.1669311E+003, 0.3060335E-006, 0.3683657E+03, 0.1327849E+014
0.1671091E+003, 0.2814323E-006, 0.3707133E+03, 0.1219806E+014
0.1673109E+003, 0.2586132E-006, 0.3730848E+03, 0.1119550E+014
0.1675465E+003, 0.2374667E-006, 0.3754806E+03, 0.1026560E+014
0.1678307E+003, 0.2178894E-006, 0.3779009E+03, 0.9403325E+013
0.1681855E+003, 0.1997842E-006, 0.3803459E+03, 0.8603783E+013
0.1686432E+003, 0.1830603E-006, 0.3828159E+03, 0.7862165E+013
0.1692496E+003, 0.1676336E-006, 0.3853111E+03, 0.7173817E+013
0.1700687E+003, 0.1534262E-006, 0.3878318E+03, 0.6534194E+013
0.1711844E+003, 0.1403668E-006, 0.3903783E+03, 0.5939050E+013
0.1726974E+003, 0.1283897E-006, 0.3929508E+03, 0.5384697E+013
0.1747178E+003, 0.1174341E-006, 0.3955495E+03, 0.4868262E+013
0.1773496E+003, 0.1074418E-006, 0.3981749E+03, 0.4387932E+013
0.1806759E+003, 0.9835560E-007, 0.4008270E+03, 0.3942901E+013
0.1847478E+003, 0.9011743E-007, 0.4035063E+03, 0.3533023E+013
0.1895829E+003, 0.8266741E-007, 0.4062129E+03, 0.3158290E+013
0.1951675E+003, 0.7594406E-007, 0.4089472E+03, 0.2818404E+013
0.2014654E+003, 0.6988516E-007, 0.4117094E+03, 0.2512473E+013
